"Timestamp","Name, Address, Country"
"2022/05/13 11:30:03 AM AST","Tienda Linda 2011, F.P., y 468, Maiquetía, La Guaira"
"2022/05/13 11:30:34 AM AST","Inversiones Henriday, C.A., Pasillo 5, Maiquetía, La Guaira"
"2022/05/13 11:32:11 AM AST","yessenia montilla f.p. pasillo 1 maiquetía la guaira"
"2022/05/13 11:41:41 AM AST","Club Deportivo Las Nazareth, C.A., Asociación Aorafanb, Local 4C, Catia La Mar, La Guaira"
"2022/05/13 11:43:00 AM AST","Inversiones Jehová El Rey, C.A., Pasillo 1, Maiquetía, La Guaira"
"2022/05/13 11:43:12 AM AST","Inversiones Yheremy, C.A., Pasillo 1, Maiquetía, La Guaira"
"2022/05/13 11:54:06 AM AST","ADAM SPORT, C.A., ° 15, Maiquetía, La Guaira"
"2022/05/13 11:54:48 AM AST","MiniMarket Bodegon la Roca, C.A., Maiquetía, La Guaira"
"2022/05/13 11:55:24 AM AST","Licorería Anare, C.A., Avenida Principal de, Anare, La Guaira"
"2022/05/13 11:58:08 AM AST","Inversiones Marioly Brett, c.a., Local 5, Catia La Mar, La Guaira"
"2022/05/13 12:00:35 PM AST","Inversiones My friend Paul, C.A., Pasillo 2, Maiquetía, La Guaira"
"2022/05/13 12:01:31 PM AST","Inversiones Ant-Shar, C.A., Calle Real de Maiquetía, Maiquetía, La Guaira"
"2022/05/13 12:13:12 PM AST","Bodegón licorería El Golfeado de Macuto, C.A., Catia La Mar, La Guaira"
"2022/05/13 12:13:54 PM AST","Ditaty C. A., Carrera 5, Guanare, Portuguesa"
"2022/05/13 12:15:52 PM AST","Jessimar Repuestos C.A., Guanarito, Portuguesa"
"2022/05/13 12:24:24 PM AST","Tiendas Artes y Cueros, Calle 18, Guanare, Portuguesa"
"2022/05/13 12:25:05 PM AST","Mundo Repuestos Panda, Guanarito, Portuguesa"
"2022/05/13 12:25:57 PM AST","Kau Kids, Avenida Unda, Guanare, Portuguesa"
"2022/05/13 12:31:31 PM AST","Bubbles fresh, la guairita, Avenida Luis De Camoens, Caracas, Miranda"
"2022/05/13 12:40:01 PM AST","AUTO REPUESTOS CHERYFORD, Calle 4 Bis, San Cristóbal, Táchira"
"2022/05/13 12:43:16 PM AST","REPUESTOS CANCHICA, Calle 4, San Cristóbal, Táchira"
"2022/05/13 12:43:57 PM AST","LA CASA DEL NINTENDO, Caracas, Distrito Capital"
"2022/05/13 12:50:44 PM AST","Alta Barberia Carlos, Maracaibo, Zulia"
"2022/05/13 12:54:43 PM AST","El Brasero de Maiquetia, C.A., Maiquetía, La Guaira"
"2022/05/13 12:56:37 PM AST","Agora Makeup C.A., Catia La Mar, La Guaira"
"2022/05/13 12:59:35 PM AST","Inversiones J.D 2020, Avenida La Playa, Caraballeda, La Guaira"
"2022/05/13 1:01:11 PM AST","Repuestos y Rodamientos REBERCA, San Cristóbal, Táchira"
"2022/05/13 1:06:37 PM AST","Inversiones Niga, C.A., local 01, Caraballeda, La Guaira"
"2022/05/13 1:11:24 PM AST","Kaska-Nueces, San Cristóbal, Táchira"
"2022/05/13 1:12:28 PM AST","Recol Repuestos, San Cristóbal, Táchira"
"2022/05/13 1:12:56 PM AST","Bar Restaurant Pa' que leo, C.A., Local 02, Caraballeda, La Guaira"
"2022/05/13 1:14:04 PM AST","Aika Tattoo, Avenida Sucre, Caracas, Miranda"
"2022/05/13 1:16:11 PM AST","Tintoretto, Av 15, Maracaibo, Zulia"
"2022/05/13 1:46:43 PM AST","Tecnocelkc Ml-622, Avenida Las Delicias, Maracaibo, Zulia"
"2022/05/13 1:52:26 PM AST","Racarga-T, Av. 13 B, Maracaibo 4005, Zulia, Venezuela"
"2022/05/13 2:03:55 PM AST","Cerrajería Industrial Mcbo, Maracaibo, Zulia"
"2022/05/13 2:08:09 PM AST","Inversiones Carvajal Olivo, C.A., Caraballeda, La Guaira"
"2022/05/13 2:08:58 PM AST","Panadería Ejército de Dios,C.A., Maiquetía, La Guaira"
"2022/05/13 2:10:09 PM AST","Barbería Unisex Nautilus II, con Cristo a Puente, Calle Real de Maiquetía, Maiquetía, La Guaira"
"2022/05/13 2:13:49 PM AST","Restaurant Cabo Kenedy, C.A, Caraballeda, La Guaira"
"2022/05/13 2:14:55 PM AST","Picnic Burguer NC, C.A., Caraballeda, La Guaira"
"2022/05/13 2:16:36 PM AST","Reparacion Pcell Ml-105, Avenida Libertador, Maracaibo, Zulia"
"2022/05/13 2:18:13 PM AST","Total Service Printer, Av 15, Maracaibo, Zulia"
"2022/05/13 2:23:48 PM AST","Sugar Cake Maracaibo, Distribuidor Jesús Enrique Lossada, Maracaibo, Zulia"
"2022/05/13 2:24:40 PM AST","Cr movil, Avenida Libertador, Maracaibo, Zulia"
"2022/05/13 2:30:59 PM AST","Intenxys Boutique, Calle 18, Guanare, Portuguesa"
"2022/05/13 2:31:39 PM AST","PCTRONICT, Guanare, Portuguesa"
"2022/05/13 2:40:59 PM AST","club deportivo las nazareth c.a. asociación aorafanb local 4c catia la mar la guaira"
"2022/05/13 2:41:34 PM AST","inversiones jehová el rey c.a. pasillo 1 maiquetía la guaira"
"2022/05/13 2:42:23 PM AST","inversiones yheremy c.a. pasillo 1 maiquetía la guaira"
"2022/05/13 2:45:46 PM AST","adam sport c.a. ° 15 maiquetía la guaira"
"2022/05/13 2:47:35 PM AST","minimarket bodegon la roca c.a. maiquetía la guaira"
"2022/05/13 2:53:12 PM AST","licorería anare c.a. avenida principal de anare la guaira"
"2022/05/13 2:57:58 PM AST","Tienda cosmética kc Minoristas, Socorro, Maracaibo, Zulia"
"2022/05/13 2:59:18 PM AST","Kabuky Cosmetics, Avenida Las Delicias, Maracaibo, Zulia"
"2022/05/13 3:00:19 PM AST","todoimpress C.A., Carrera 5, Guanare, Portuguesa"
"2022/05/13 3:00:49 PM AST","Makeup Vino, Guanare, Portuguesa"
"2022/05/13 3:01:28 PM AST","Koala tecnología, Calle 18, Guanare, Portuguesa"
"2022/05/13 3:02:25 PM AST","Fullvape, Socorro, Maracaibo, Zulia"
"2022/05/13 3:05:12 PM AST","IP Depot, Maracaibo, Zulia"
"2022/05/13 3:07:51 PM AST","BODEGON DE LA OCHO, Guanare, Portuguesa"
"2022/05/13 3:09:37 PM AST","Motor cicles los Andes, Troncal7, La Grita, Táchira"
"2022/05/13 3:14:07 PM AST","Aguacate cosmetic, Maracaibo, Zulia"
"2022/05/13 3:20:55 PM AST","Maxiphone, Maracaibo, Zulia"
"2022/05/13 3:21:25 PM AST","Novelty Style, Maracaibo, Zulia"
"2022/05/13 3:22:19 PM AST","El Punto Andino, Guanare, Portuguesa"
"2022/05/13 3:30:50 PM AST","Tecnoelectron Gran Bazar. Mayoristas y Servicio Técnico para Celulares, Avenida Las Delicias, Maracaibo, Zulia"
"2022/05/13 3:31:00 PM AST","C.A KS ML 1554, Maracaibo, Zulia"
"2022/05/13 3:31:21 PM AST","ML -105/106 Palermo, Maracaibo, Zulia, Venezuela"
"2022/05/13 3:41:52 PM AST","Z.P Tecnología PP-18, Avenida Libertador, Maracaibo, Zulia"
"2022/05/13 3:53:50 PM AST","Zonephone Cima, Maracaibo, Zulia"
"2022/05/13 3:54:16 PM AST","Emi's Bows, Maracaibo, Zulia"
"2022/05/13 4:07:49 PM AST","Apple World, Maracaibo, Zulia"
"2022/05/13 4:08:21 PM AST","Iron Tech, Maracaibo, Zulia"
"2022/05/13 4:08:42 PM AST","Panaderia y pastelería tina, petare local número 81, Avenida Francisco de Miranda, Caracas, Distrito Capital"
"2022/05/13 4:08:57 PM AST","ALCANPO Mobile Store, Avenida Las Delicias, Maracaibo, Zulia"
