Timestamp,"Name, Address, Country"
2022/05/11 11:31:22 AM AST,"Anais Nails, Catia La Mar, La Guaira"
2022/05/11 11:35:52 AM AST,"Freddytattoo, Av. La Armada, Catia La Mar 1162, La Guaira"
2022/05/11 11:39:42 AM AST,"Zona Servi, Calle Jefatura a Cristo, Maiquetía, La Guaira"
2022/05/11 11:40:26 AM AST,"Multiservicios Germany C.A., Caracas, Distrito Capital"
2022/05/11 11:41:22 AM AST,"Inversiones Valentina Bisutery C.A, Centro Comercial La Castilla, Calle Guillermo José Schael, Caracas, Distrito Capital"
2022/05/11 11:42:03 AM AST,"Inversiones Sport Family Full C.A, Avenida Mohedano, Caracas, Miranda"
2022/05/11 11:43:45 AM AST,"7 Estelas, Avenida Tacagua, Catia La Mar, La Guaira"
2022/05/11 11:52:47 AM AST,"Goodstyleccs, Caracas, Distrito Capital"
2022/05/11 11:53:22 AM AST,"Ekko Barber Shop, Centro Comercial La Castilla, Calle Guillermo José Schael, Caracas, Distrito Capital"
2022/05/11 11:53:52 AM AST,"Arame Accesorios, Transversal 1, Caracas, Distrito Capital"
